OID_,States,AverageAnnualTemperature,Year_Converted
2070,Karnataka,25.5100002,01-01-1930 00:00:00
2071,Karnataka,25.7299995,01-01-1931 00:00:00
2072,Karnataka,25.3899994,01-01-1932 00:00:00
2073,Karnataka,25.2000008,01-01-1933 00:00:00
2074,Karnataka,25.2600002,01-01-1934 00:00:00
2075,Karnataka,25.4400005,01-01-1935 00:00:00
2076,Karnataka,25.5699997,01-01-1936 00:00:00
2077,Karnataka,25.4599991,01-01-1937 00:00:00
2078,Karnataka,25.3700008,01-01-1938 00:00:00
2079,Karnataka,25.3799992,01-01-1939 00:00:00
2080,Karnataka,25.4099998,01-01-1940 00:00:00
2081,Karnataka,26.1599998,01-01-1941 00:00:00
2082,Karnataka,25.6900005,01-01-1942 00:00:00
2083,Karnataka,25.1299992,01-01-1943 00:00:00
2084,Karnataka,25.4599991,01-01-1944 00:00:00
2085,Karnataka,25.3400002,01-01-1945 00:00:00
2086,Karnataka,25.5000000,01-01-1946 00:00:00
2087,Karnataka,25.5699997,01-01-1947 00:00:00
2088,Karnataka,25.7399998,01-01-1948 00:00:00
2089,Karnataka,25.3400002,01-01-1949 00:00:00
2090,Karnataka,25.2999992,01-01-1950 00:00:00
2091,Karnataka,25.5699997,01-01-1951 00:00:00
2092,Karnataka,25.7700005,01-01-1952 00:00:00
2093,Karnataka,25.8299999,01-01-1953 00:00:00
2094,Karnataka,25.4099998,01-01-1954 00:00:00
2095,Karnataka,25.2600002,01-01-1955 00:00:00
2096,Karnataka,25.2000008,01-01-1956 00:00:00
2097,Karnataka,25.5599995,01-01-1957 00:00:00
2098,Karnataka,25.9200001,01-01-1958 00:00:00
2099,Karnataka,25.7500000,01-01-1959 00:00:00
2100,Karnataka,25.6399994,01-01-1960 00:00:00
2101,Karnataka,25.4500008,01-01-1961 00:00:00
2102,Karnataka,25.3199997,01-01-1962 00:00:00
2103,Karnataka,25.4400005,01-01-1963 00:00:00
2104,Karnataka,25.4599991,01-01-1964 00:00:00
2105,Karnataka,25.6299992,01-01-1965 00:00:00
2106,Karnataka,25.8400002,01-01-1966 00:00:00
2107,Karnataka,25.5200005,01-01-1967 00:00:00
2108,Karnataka,25.4200001,01-01-1968 00:00:00
2109,Karnataka,25.8400002,01-01-1969 00:00:00
2110,Karnataka,25.3700008,01-01-1970 00:00:00
2111,Karnataka,25.1599998,01-01-1971 00:00:00
2112,Karnataka,25.8600006,01-01-1972 00:00:00
2113,Karnataka,25.8999996,01-01-1973 00:00:00
2114,Karnataka,25.4400005,01-01-1974 00:00:00
2115,Karnataka,25.2099991,01-01-1975 00:00:00
2116,Karnataka,25.5699997,01-01-1976 00:00:00
2117,Karnataka,25.8400002,01-01-1977 00:00:00
2118,Karnataka,25.7099991,01-01-1978 00:00:00
2119,Karnataka,26.1399994,01-01-1979 00:00:00
2120,Karnataka,26.1499996,01-01-1980 00:00:00
2121,Karnataka,25.8099995,01-01-1981 00:00:00
2122,Karnataka,26.0400009,01-01-1982 00:00:00
2123,Karnataka,25.9500008,01-01-1983 00:00:00
2124,Karnataka,25.8199997,01-01-1984 00:00:00
2125,Karnataka,25.9099998,01-01-1985 00:00:00
2126,Karnataka,26.1200008,01-01-1986 00:00:00
2127,Karnataka,26.2500000,01-01-1987 00:00:00
2128,Karnataka,26.0900002,01-01-1988 00:00:00
2129,Karnataka,25.7000008,01-01-1989 00:00:00
2130,Karnataka,25.8199997,01-01-1990 00:00:00
2131,Karnataka,25.9899998,01-01-1991 00:00:00
2132,Karnataka,25.8299999,01-01-1992 00:00:00
2133,Karnataka,25.8999996,01-01-1993 00:00:00
2134,Karnataka,25.7900009,01-01-1994 00:00:00
2135,Karnataka,25.9300003,01-01-1995 00:00:00
2136,Karnataka,25.9899998,01-01-1996 00:00:00
2137,Karnataka,26.1200008,01-01-1997 00:00:00
2138,Karnataka,26.4799995,01-01-1998 00:00:00
2139,Karnataka,25.8500004,01-01-1999 00:00:00
2140,Karnataka,25.8899994,01-01-2000 00:00:00
2141,Karnataka,26.1800003,01-01-2001 00:00:00
2142,Karnataka,26.3299999,01-01-2002 00:00:00
2143,Karnataka,26.3999996,01-01-2003 00:00:00
2144,Karnataka,26.0200005,01-01-2004 00:00:00
2145,Karnataka,26.0200005,01-01-2005 00:00:00
2146,Karnataka,26.2000008,01-01-2006 00:00:00
2147,Karnataka,26.2500000,01-01-2007 00:00:00
2148,Karnataka,26.1000004,01-01-2008 00:00:00
2149,Karnataka,26.5699997,01-01-2009 00:00:00
2150,Karnataka,26.5000000,01-01-2010 00:00:00
2151,Karnataka,26.1599998,01-01-2011 00:00:00
2152,Karnataka,26.3899994,01-01-2012 00:00:00
2153,Karnataka,26.1800003,01-01-2013 00:00:00
2154,Karnataka,26.4099998,01-01-2014 00:00:00
2155,Karnataka,26.4599991,01-01-2015 00:00:00
2156,Karnataka,26.5100002,01-01-2016 00:00:00
2157,Karnataka,26.5900002,01-01-2017 00:00:00
2158,Karnataka,26.4400005,01-01-2018 00:00:00
2159,Karnataka,26.6700001,01-01-2019 00:00:00
2160,Karnataka,26.5100002,01-01-2020 00:00:00
2161,Kerala,25.8899994,01-01-1901 00:00:00
2162,Kerala,25.9200001,01-01-1902 00:00:00
2163,Kerala,25.7199993,01-01-1903 00:00:00
2164,Kerala,25.4599991,01-01-1904 00:00:00
2165,Kerala,25.8299999,01-01-1905 00:00:00
2166,Kerala,25.9300003,01-01-1906 00:00:00
2167,Kerala,25.6499996,01-01-1907 00:00:00
2168,Kerala,25.5799999,01-01-1908 00:00:00
2169,Kerala,25.6200008,01-01-1909 00:00:00
2170,Kerala,25.5599995,01-01-1910 00:00:00
2171,Kerala,25.9200001,01-01-1911 00:00:00
2172,Kerala,26.0000000,01-01-1912 00:00:00
2173,Kerala,25.8799992,01-01-1913 00:00:00
2174,Kerala,25.9200001,01-01-1914 00:00:00
2175,Kerala,26.0599995,01-01-1915 00:00:00
2176,Kerala,25.7199993,01-01-1916 00:00:00
2177,Kerala,25.3700008,01-01-1917 00:00:00
2178,Kerala,25.6000004,01-01-1918 00:00:00
2179,Kerala,26.0100002,01-01-1919 00:00:00
2180,Kerala,26.0200005,01-01-1920 00:00:00
2181,Kerala,25.7900009,01-01-1921 00:00:00
2182,Kerala,25.6100006,01-01-1922 00:00:00
2183,Kerala,25.6299992,01-01-1923 00:00:00
2184,Kerala,25.8299999,01-01-1924 00:00:00
2185,Kerala,25.5799999,01-01-1925 00:00:00
2186,Kerala,26.0100002,01-01-1926 00:00:00
2187,Kerala,25.8700008,01-01-1927 00:00:00
2188,Kerala,25.9899998,01-01-1928 00:00:00
2189,Kerala,25.7500000,01-01-1929 00:00:00
2190,Kerala,25.7600002,01-01-1930 00:00:00
2191,Kerala,25.9799995,01-01-1931 00:00:00
2192,Kerala,25.5400009,01-01-1932 00:00:00
2193,Kerala,25.4099998,01-01-1933 00:00:00
2194,Kerala,25.6000004,01-01-1934 00:00:00
2195,Kerala,25.7500000,01-01-1935 00:00:00
2196,Kerala,25.8600006,01-01-1936 00:00:00
2197,Kerala,25.8899994,01-01-1937 00:00:00
2198,Kerala,25.8099995,01-01-1938 00:00:00
2199,Kerala,25.6599998,01-01-1939 00:00:00
2200,Kerala,25.8199997,01-01-1940 00:00:00
2201,Kerala,26.2000008,01-01-1941 00:00:00
2202,Kerala,25.8899994,01-01-1942 00:00:00
2203,Kerala,25.3899994,01-01-1943 00:00:00
2204,Kerala,25.7000008,01-01-1944 00:00:00
2205,Kerala,25.7600002,01-01-1945 00:00:00
2206,Kerala,25.6800003,01-01-1946 00:00:00
2207,Kerala,25.7099991,01-01-1947 00:00:00
2208,Kerala,25.9200001,01-01-1948 00:00:00
2209,Kerala,25.5699997,01-01-1949 00:00:00
2210,Kerala,25.5900002,01-01-1950 00:00:00
2211,Kerala,25.7299995,01-01-1951 00:00:00
2212,Kerala,25.9099998,01-01-1952 00:00:00
2213,Kerala,25.9400005,01-01-1953 00:00:00
2214,Kerala,25.5900002,01-01-1954 00:00:00
2215,Kerala,25.3999996,01-01-1955 00:00:00
2216,Kerala,25.3899994,01-01-1956 00:00:00
2217,Kerala,25.7099991,01-01-1957 00:00:00
2218,Kerala,26.0200005,01-01-1958 00:00:00
2219,Kerala,25.9500008,01-01-1959 00:00:00
2220,Kerala,25.6900005,01-01-1960 00:00:00
2221,Kerala,25.7299995,01-01-1961 00:00:00
2222,Kerala,25.6700001,01-01-1962 00:00:00
2223,Kerala,25.7999992,01-01-1963 00:00:00
2224,Kerala,25.9300003,01-01-1964 00:00:00
2225,Kerala,25.9200001,01-01-1965 00:00:00
2226,Kerala,26.1399994,01-01-1966 00:00:00
2227,Kerala,25.7299995,01-01-1967 00:00:00
2228,Kerala,25.7299995,01-01-1968 00:00:00
2229,Kerala,26.0400009,01-01-1969 00:00:00
2230,Kerala,25.7299995,01-01-1970 00:00:00
2231,Kerala,25.3500004,01-01-1971 00:00:00
2232,Kerala,25.9099998,01-01-1972 00:00:00
2233,Kerala,26.1399994,01-01-1973 00:00:00
2234,Kerala,25.7099991,01-01-1974 00:00:00
2235,Kerala,25.5900002,01-01-1975 00:00:00
2236,Kerala,25.9099998,01-01-1976 00:00:00
2237,Kerala,26.0900002,01-01-1977 00:00:00
2238,Kerala,26.0900002,01-01-1978 00:00:00
2239,Kerala,26.3799992,01-01-1979 00:00:00
2240,Kerala,26.4500008,01-01-1980 00:00:00
2241,Kerala,26.1700001,01-01-1981 00:00:00
2242,Kerala,26.3400002,01-01-1982 00:00:00
2243,Kerala,26.5799999,01-01-1983 00:00:00
2244,Kerala,26.0000000,01-01-1984 00:00:00
2245,Kerala,26.2299995,01-01-1985 00:00:00
2246,Kerala,26.3899994,01-01-1986 00:00:00
2247,Kerala,26.6700001,01-01-1987 00:00:00
2248,Kerala,26.5499992,01-01-1988 00:00:00
2249,Kerala,26.1499996,01-01-1989 00:00:00
2250,Kerala,26.4599991,01-01-1990 00:00:00
2251,Kerala,26.5000000,01-01-1991 00:00:00
2252,Kerala,26.2199993,01-01-1992 00:00:00
2253,Kerala,26.2999992,01-01-1993 00:00:00
2254,Kerala,26.3299999,01-01-1994 00:00:00
2255,Kerala,26.4699993,01-01-1995 00:00:00
2256,Kerala,26.3600006,01-01-1996 00:00:00
2257,Kerala,26.6200008,01-01-1997 00:00:00
2258,Kerala,26.9300003,01-01-1998 00:00:00
2259,Kerala,26.3099995,01-01-1999 00:00:00
2260,Kerala,26.3799992,01-01-2000 00:00:00
2261,Kerala,26.5699997,01-01-2001 00:00:00
2262,Kerala,26.7399998,01-01-2002 00:00:00
2263,Kerala,26.7800007,01-01-2003 00:00:00
2264,Kerala,26.4300003,01-01-2004 00:00:00
2265,Kerala,26.5599995,01-01-2005 00:00:00
2266,Kerala,26.5499992,01-01-2006 00:00:00
2267,Kerala,26.5300007,01-01-2007 00:00:00
2268,Kerala,26.3799992,01-01-2008 00:00:00
2269,Kerala,26.7900009,01-01-2009 00:00:00
2270,Kerala,26.7999992,01-01-2010 00:00:00
2271,Kerala,26.5699997,01-01-2011 00:00:00
2272,Kerala,26.8199997,01-01-2012 00:00:00
2273,Kerala,26.6399994,01-01-2013 00:00:00
2274,Kerala,26.7700005,01-01-2014 00:00:00
2275,Kerala,26.7399998,01-01-2015 00:00:00
2276,Kerala,27.0599995,01-01-2016 00:00:00
2277,Kerala,26.8999996,01-01-2017 00:00:00
2278,Kerala,26.7299995,01-01-2018 00:00:00
2279,Kerala,27.0499992,01-01-2019 00:00:00
2280,Kerala,27.0100002,01-01-2020 00:00:00
2281,Lakshadweep,27.1200008,01-01-1901 00:00:00
2282,Lakshadweep,27.0400009,01-01-1902 00:00:00
2283,Lakshadweep,27.0100002,01-01-1903 00:00:00
2284,Lakshadweep,26.6200008,01-01-1904 00:00:00
2285,Lakshadweep,27.0699997,01-01-1905 00:00:00
2286,Lakshadweep,27.1399994,01-01-1906 00:00:00
2287,Lakshadweep,26.8199997,01-01-1907 00:00:00
2288,Lakshadweep,26.7700005,01-01-1908 00:00:00
2289,Lakshadweep,26.8099995,01-01-1909 00:00:00
2290,Lakshadweep,26.7800007,01-01-1910 00:00:00
2291,Lakshadweep,27.0599995,01-01-1911 00:00:00
2292,Lakshadweep,27.1200008,01-01-1912 00:00:00
2293,Lakshadweep,27.0699997,01-01-1913 00:00:00
2294,Lakshadweep,27.1700001,01-01-1914 00:00:00
2295,Lakshadweep,27.2600002,01-01-1915 00:00:00
2296,Lakshadweep,26.9200001,01-01-1916 00:00:00
2297,Lakshadweep,26.6599998,01-01-1917 00:00:00
2298,Lakshadweep,26.7600002,01-01-1918 00:00:00
2299,Lakshadweep,27.1800003,01-01-1919 00:00:00
2300,Lakshadweep,27.1299992,01-01-1920 00:00:00
2301,Lakshadweep,27.0300007,01-01-1921 00:00:00
2302,Lakshadweep,26.7999992,01-01-1922 00:00:00
2303,Lakshadweep,26.7999992,01-01-1923 00:00:00
2304,Lakshadweep,27.0300007,01-01-1924 00:00:00
2305,Lakshadweep,26.8299999,01-01-1925 00:00:00
2306,Lakshadweep,27.1800003,01-01-1926 00:00:00
2307,Lakshadweep,27.0300007,01-01-1927 00:00:00
2308,Lakshadweep,27.1499996,01-01-1928 00:00:00
2309,Lakshadweep,26.8799992,01-01-1929 00:00:00
2310,Lakshadweep,26.9799995,01-01-1930 00:00:00
2311,Lakshadweep,27.1299992,01-01-1931 00:00:00
2312,Lakshadweep,26.6900005,01-01-1932 00:00:00
2313,Lakshadweep,26.5400009,01-01-1933 00:00:00
2314,Lakshadweep,26.7399998,01-01-1934 00:00:00
2315,Lakshadweep,26.8700008,01-01-1935 00:00:00
2316,Lakshadweep,26.9799995,01-01-1936 00:00:00
2317,Lakshadweep,27.0799999,01-01-1937 00:00:00
2318,Lakshadweep,26.9400005,01-01-1938 00:00:00
2319,Lakshadweep,26.8400002,01-01-1939 00:00:00
2320,Lakshadweep,26.9799995,01-01-1940 00:00:00
2321,Lakshadweep,27.3400002,01-01-1941 00:00:00
2322,Lakshadweep,26.9599991,01-01-1942 00:00:00
2323,Lakshadweep,26.5599995,01-01-1943 00:00:00
2324,Lakshadweep,26.8700008,01-01-1944 00:00:00
2325,Lakshadweep,26.9699993,01-01-1945 00:00:00
2326,Lakshadweep,26.7900009,01-01-1946 00:00:00
2327,Lakshadweep,26.8500004,01-01-1947 00:00:00
2328,Lakshadweep,27.0499992,01-01-1948 00:00:00
2329,Lakshadweep,26.7399998,01-01-1949 00:00:00
2330,Lakshadweep,26.7199993,01-01-1950 00:00:00
2331,Lakshadweep,26.8500004,01-01-1951 00:00:00
2332,Lakshadweep,27.0300007,01-01-1952 00:00:00
2333,Lakshadweep,27.0699997,01-01-1953 00:00:00
2334,Lakshadweep,26.7299995,01-01-1954 00:00:00
2335,Lakshadweep,26.5900002,01-01-1955 00:00:00
2336,Lakshadweep,26.5200005,01-01-1956 00:00:00
2337,Lakshadweep,26.8899994,01-01-1957 00:00:00
2338,Lakshadweep,27.1399994,01-01-1958 00:00:00
2339,Lakshadweep,27.0799999,01-01-1959 00:00:00
2340,Lakshadweep,26.7399998,01-01-1960 00:00:00
2341,Lakshadweep,26.8799992,01-01-1961 00:00:00
2342,Lakshadweep,26.8799992,01-01-1962 00:00:00
2343,Lakshadweep,26.9799995,01-01-1963 00:00:00
2344,Lakshadweep,27.0200005,01-01-1964 00:00:00
2345,Lakshadweep,27.0699997,01-01-1965 00:00:00
2346,Lakshadweep,27.2800007,01-01-1966 00:00:00
2347,Lakshadweep,26.9099998,01-01-1967 00:00:00
2348,Lakshadweep,26.7399998,01-01-1968 00:00:00
2349,Lakshadweep,27.1499996,01-01-1969 00:00:00
2350,Lakshadweep,26.7999992,01-01-1970 00:00:00
2351,Lakshadweep,26.3099995,01-01-1971 00:00:00
2352,Lakshadweep,27.0000000,01-01-1972 00:00:00
2353,Lakshadweep,27.2299995,01-01-1973 00:00:00
2354,Lakshadweep,26.8600006,01-01-1974 00:00:00
2355,Lakshadweep,26.6599998,01-01-1975 00:00:00
2356,Lakshadweep,27.0499992,01-01-1976 00:00:00
2357,Lakshadweep,27.3199997,01-01-1977 00:00:00
2358,Lakshadweep,27.2199993,01-01-1978 00:00:00
2359,Lakshadweep,27.5300007,01-01-1979 00:00:00
2360,Lakshadweep,27.5499992,01-01-1980 00:00:00
2361,Lakshadweep,27.3600006,01-01-1981 00:00:00
2362,Lakshadweep,27.5200005,01-01-1982 00:00:00
2363,Lakshadweep,27.7500000,01-01-1983 00:00:00
2364,Lakshadweep,27.2000008,01-01-1984 00:00:00
2365,Lakshadweep,27.4400005,01-01-1985 00:00:00
2366,Lakshadweep,27.5900002,01-01-1986 00:00:00
2367,Lakshadweep,27.9400005,01-01-1987 00:00:00
2368,Lakshadweep,27.8199997,01-01-1988 00:00:00
2369,Lakshadweep,27.3799992,01-01-1989 00:00:00
2370,Lakshadweep,27.6900005,01-01-1990 00:00:00
2371,Lakshadweep,27.7500000,01-01-1991 00:00:00
2372,Lakshadweep,27.4300003,01-01-1992 00:00:00
2373,Lakshadweep,27.5300007,01-01-1993 00:00:00
2374,Lakshadweep,27.5599995,01-01-1994 00:00:00
2375,Lakshadweep,27.7299995,01-01-1995 00:00:00
2376,Lakshadweep,27.5699997,01-01-1996 00:00:00
2377,Lakshadweep,27.8400002,01-01-1997 00:00:00
2378,Lakshadweep,28.1000004,01-01-1998 00:00:00
2379,Lakshadweep,27.5300007,01-01-1999 00:00:00
2380,Lakshadweep,27.5799999,01-01-2000 00:00:00
2381,Lakshadweep,27.7399998,01-01-2001 00:00:00
2382,Lakshadweep,27.9599991,01-01-2002 00:00:00
2383,Lakshadweep,27.9899998,01-01-2003 00:00:00
2384,Lakshadweep,27.6900005,01-01-2004 00:00:00
2385,Lakshadweep,27.8400002,01-01-2005 00:00:00
2386,Lakshadweep,27.7399998,01-01-2006 00:00:00
2387,Lakshadweep,27.7800007,01-01-2007 00:00:00
2388,Lakshadweep,27.5400009,01-01-2008 00:00:00
2389,Lakshadweep,27.9599991,01-01-2009 00:00:00
2390,Lakshadweep,27.9899998,01-01-2010 00:00:00
2391,Lakshadweep,27.7999992,01-01-2011 00:00:00
2392,Lakshadweep,28.0100002,01-01-2012 00:00:00
2393,Lakshadweep,27.8799992,01-01-2013 00:00:00
2394,Lakshadweep,28.0200005,01-01-2014 00:00:00
2395,Lakshadweep,27.9799995,01-01-2015 00:00:00
2396,Lakshadweep,28.4099998,01-01-2016 00:00:00
2397,Lakshadweep,28.1299992,01-01-2017 00:00:00
2398,Lakshadweep,27.9200001,01-01-2018 00:00:00
2399,Lakshadweep,28.2600002,01-01-2019 00:00:00
2400,Lakshadweep,28.2999992,01-01-2020 00:00:00
2401,Madhya Pradesh,25.3999996,01-01-1901 00:00:00
2402,Madhya Pradesh,25.8199997,01-01-1902 00:00:00
2403,Madhya Pradesh,25.0300007,01-01-1903 00:00:00
2404,Madhya Pradesh,25.1299992,01-01-1904 00:00:00
2405,Madhya Pradesh,25.0200005,01-01-1905 00:00:00
2406,Madhya Pradesh,25.1499996,01-01-1906 00:00:00
2407,Madhya Pradesh,25.1100006,01-01-1907 00:00:00
2408,Madhya Pradesh,25.0699997,01-01-1908 00:00:00
2409,Madhya Pradesh,24.9300003,01-01-1909 00:00:00
2410,Madhya Pradesh,24.8400002,01-01-1910 00:00:00
2411,Madhya Pradesh,25.3400002,01-01-1911 00:00:00
2412,Madhya Pradesh,25.4799995,01-01-1912 00:00:00
2413,Madhya Pradesh,25.1599998,01-01-1913 00:00:00
2414,Madhya Pradesh,25.3099995,01-01-1914 00:00:00
2415,Madhya Pradesh,25.6599998,01-01-1915 00:00:00
2416,Madhya Pradesh,25.1599998,01-01-1916 00:00:00
2417,Madhya Pradesh,24.3799992,01-01-1917 00:00:00
2418,Madhya Pradesh,25.2900009,01-01-1918 00:00:00
2419,Madhya Pradesh,25.1200008,01-01-1919 00:00:00
2420,Madhya Pradesh,25.4400005,01-01-1920 00:00:00
2421,Madhya Pradesh,25.8400002,01-01-1921 00:00:00
2422,Madhya Pradesh,25.2900009,01-01-1922 00:00:00
2423,Madhya Pradesh,25.4300003,01-01-1923 00:00:00
2424,Madhya Pradesh,25.5400009,01-01-1924 00:00:00
2425,Madhya Pradesh,25.0100002,01-01-1925 00:00:00
2426,Madhya Pradesh,25.1100006,01-01-1926 00:00:00
2427,Madhya Pradesh,24.9599991,01-01-1927 00:00:00
2428,Madhya Pradesh,25.4599991,01-01-1928 00:00:00
2429,Madhya Pradesh,25.2800007,01-01-1929 00:00:00
2430,Madhya Pradesh,25.2000008,01-01-1930 00:00:00
2431,Madhya Pradesh,25.5799999,01-01-1931 00:00:00
2432,Madhya Pradesh,25.3600006,01-01-1932 00:00:00
2433,Madhya Pradesh,24.7700005,01-01-1933 00:00:00
2434,Madhya Pradesh,24.9200001,01-01-1934 00:00:00
2435,Madhya Pradesh,25.0000000,01-01-1935 00:00:00
2436,Madhya Pradesh,25.0300007,01-01-1936 00:00:00
2437,Madhya Pradesh,24.9099998,01-01-1937 00:00:00
2438,Madhya Pradesh,25.1700001,01-01-1938 00:00:00
2439,Madhya Pradesh,25.2399998,01-01-1939 00:00:00
2440,Madhya Pradesh,25.1700001,01-01-1940 00:00:00
2441,Madhya Pradesh,26.0499992,01-01-1941 00:00:00
2442,Madhya Pradesh,25.4699993,01-01-1942 00:00:00
2443,Madhya Pradesh,25.1599998,01-01-1943 00:00:00
2444,Madhya Pradesh,25.1000004,01-01-1944 00:00:00
2445,Madhya Pradesh,24.8299999,01-01-1945 00:00:00
2446,Madhya Pradesh,25.4300003,01-01-1946 00:00:00
2447,Madhya Pradesh,25.5100002,01-01-1947 00:00:00
2448,Madhya Pradesh,25.5300007,01-01-1948 00:00:00
2449,Madhya Pradesh,25.4899998,01-01-1949 00:00:00
2450,Madhya Pradesh,24.9799995,01-01-1950 00:00:00
2451,Madhya Pradesh,25.5100002,01-01-1951 00:00:00
2452,Madhya Pradesh,25.7700005,01-01-1952 00:00:00
2453,Madhya Pradesh,25.9400005,01-01-1953 00:00:00
2454,Madhya Pradesh,25.4599991,01-01-1954 00:00:00
2455,Madhya Pradesh,25.1399994,01-01-1955 00:00:00
2456,Madhya Pradesh,25.0699997,01-01-1956 00:00:00
2457,Madhya Pradesh,25.2099991,01-01-1957 00:00:00
2458,Madhya Pradesh,25.8899994,01-01-1958 00:00:00
2459,Madhya Pradesh,25.4500008,01-01-1959 00:00:00
2460,Madhya Pradesh,25.3400002,01-01-1960 00:00:00
2461,Madhya Pradesh,24.8799992,01-01-1961 00:00:00
2462,Madhya Pradesh,25.0699997,01-01-1962 00:00:00
2463,Madhya Pradesh,25.1599998,01-01-1963 00:00:00
2464,Madhya Pradesh,25.3600006,01-01-1964 00:00:00
2465,Madhya Pradesh,25.5400009,01-01-1965 00:00:00
2466,Madhya Pradesh,25.8299999,01-01-1966 00:00:00
2467,Madhya Pradesh,25.3700008,01-01-1967 00:00:00
2468,Madhya Pradesh,25.0599995,01-01-1968 00:00:00
2469,Madhya Pradesh,25.8099995,01-01-1969 00:00:00
2470,Madhya Pradesh,25.2600002,01-01-1970 00:00:00
2471,Madhya Pradesh,24.6499996,01-01-1971 00:00:00
2472,Madhya Pradesh,25.3999996,01-01-1972 00:00:00
2473,Madhya Pradesh,25.5900002,01-01-1973 00:00:00
2474,Madhya Pradesh,25.4099998,01-01-1974 00:00:00
2475,Madhya Pradesh,24.9599991,01-01-1975 00:00:00
2476,Madhya Pradesh,25.4500008,01-01-1976 00:00:00
2477,Madhya Pradesh,25.5400009,01-01-1977 00:00:00
2478,Madhya Pradesh,25.2199993,01-01-1978 00:00:00
2479,Madhya Pradesh,25.8099995,01-01-1979 00:00:00
2480,Madhya Pradesh,25.8799992,01-01-1980 00:00:00
2481,Madhya Pradesh,25.4699993,01-01-1981 00:00:00
2482,Madhya Pradesh,25.4200001,01-01-1982 00:00:00
2483,Madhya Pradesh,24.9699993,01-01-1983 00:00:00
2484,Madhya Pradesh,25.2700005,01-01-1984 00:00:00
2485,Madhya Pradesh,25.6800003,01-01-1985 00:00:00
2486,Madhya Pradesh,25.5400009,01-01-1986 00:00:00
2487,Madhya Pradesh,26.0000000,01-01-1987 00:00:00
2488,Madhya Pradesh,25.8999996,01-01-1988 00:00:00
2489,Madhya Pradesh,25.3299999,01-01-1989 00:00:00
2490,Madhya Pradesh,25.2500000,01-01-1990 00:00:00
2491,Madhya Pradesh,25.6299992,01-01-1991 00:00:00
2492,Madhya Pradesh,25.5599995,01-01-1992 00:00:00
2493,Madhya Pradesh,25.6900005,01-01-1993 00:00:00
2494,Madhya Pradesh,25.3799992,01-01-1994 00:00:00
2495,Madhya Pradesh,25.6599998,01-01-1995 00:00:00
2496,Madhya Pradesh,25.8700008,01-01-1996 00:00:00
2497,Madhya Pradesh,25.0499992,01-01-1997 00:00:00
2498,Madhya Pradesh,25.8700008,01-01-1998 00:00:00
2499,Madhya Pradesh,25.6599998,01-01-1999 00:00:00
2500,Madhya Pradesh,25.8099995,01-01-2000 00:00:00
2501,Madhya Pradesh,25.7800007,01-01-2001 00:00:00
2502,Madhya Pradesh,26.2399998,01-01-2002 00:00:00
2503,Madhya Pradesh,25.9099998,01-01-2003 00:00:00
2504,Madhya Pradesh,26.0400009,01-01-2004 00:00:00
2505,Madhya Pradesh,25.6900005,01-01-2005 00:00:00
2506,Madhya Pradesh,25.9200001,01-01-2006 00:00:00
2507,Madhya Pradesh,25.9799995,01-01-2007 00:00:00
2508,Madhya Pradesh,25.7199993,01-01-2008 00:00:00
2509,Madhya Pradesh,26.6499996,01-01-2009 00:00:00
2510,Madhya Pradesh,26.5599995,01-01-2010 00:00:00
2511,Madhya Pradesh,25.7299995,01-01-2011 00:00:00
2512,Madhya Pradesh,25.7800007,01-01-2012 00:00:00
2513,Madhya Pradesh,25.4899998,01-01-2013 00:00:00
2514,Madhya Pradesh,25.7299995,01-01-2014 00:00:00
2515,Madhya Pradesh,25.9599991,01-01-2015 00:00:00
2516,Madhya Pradesh,26.2900009,01-01-2016 00:00:00
2517,Madhya Pradesh,26.1700001,01-01-2017 00:00:00
2518,Madhya Pradesh,26.0400009,01-01-2018 00:00:00
2519,Madhya Pradesh,25.9400005,01-01-2019 00:00:00
2520,Madhya Pradesh,25.7500000,01-01-2020 00:00:00
2521,Maharashtra,26.1700001,01-01-1901 00:00:00
2522,Maharashtra,26.7399998,01-01-1902 00:00:00
2523,Maharashtra,25.8600006,01-01-1903 00:00:00
2524,Maharashtra,26.0799999,01-01-1904 00:00:00
2525,Maharashtra,25.9899998,01-01-1905 00:00:00
2526,Maharashtra,26.1299992,01-01-1906 00:00:00
2527,Maharashtra,26.1100006,01-01-1907 00:00:00
2528,Maharashtra,25.9599991,01-01-1908 00:00:00
2529,Maharashtra,26.0400009,01-01-1909 00:00:00
2530,Maharashtra,25.8700008,01-01-1910 00:00:00
2531,Maharashtra,26.3400002,01-01-1911 00:00:00
2532,Maharashtra,26.5799999,01-01-1912 00:00:00
2533,Maharashtra,26.2199993,01-01-1913 00:00:00
2534,Maharashtra,26.2800007,01-01-1914 00:00:00
2535,Maharashtra,26.5100002,01-01-1915 00:00:00
2536,Maharashtra,26.2000008,01-01-1916 00:00:00
2537,Maharashtra,25.5599995,01-01-1917 00:00:00
2538,Maharashtra,26.2700005,01-01-1918 00:00:00
2539,Maharashtra,26.2999992,01-01-1919 00:00:00
2540,Maharashtra,26.5300007,01-01-1920 00:00:00
2541,Maharashtra,26.5499992,01-01-1921 00:00:00
2542,Maharashtra,26.2500000,01-01-1922 00:00:00
2543,Maharashtra,26.3299999,01-01-1923 00:00:00
2544,Maharashtra,26.6100006,01-01-1924 00:00:00
2545,Maharashtra,26.1800003,01-01-1925 00:00:00
